Card ID,Card Name,1st Edition?,Card Set,Rarity,Quantity,Est. Max Price Per Card
DP1-EN001,Elemental Hero Avian,N,Deulist Pack 1: Jaden Yuki,Common,6,9.97,
DP1-EN002,Elemental Hero Burstinatrix,N,Deulist Pack 1: Jaden Yuki,Common,5,9.97,
DP1-EN003,Elemental Hero Clayman,N,Deulist Pack 1: Jaden Yuki,Common,1,8.99,
DP1-EN004,Elemental Hero Sparkman,N,Deulist Pack 1: Jaden Yuki,Common,6,4.95,
DP1-EN005,Winged Kuriboh,N,Deulist Pack 1: Jaden Yuki,Rare,2,150.00,
DP1-EN006,Winged Kuriboh LV10,N,Deulist Pack 1: Jaden Yuki,Rare,1,6.73,
DP1-EN007,Wroughtweiler,N,Deulist Pack 1: Jaden Yuki,Common,2,4.99,
DP1-EN008,Dark Catapulter,N,Deulist Pack 1: Jaden Yuki,Common,4,3.95,
DP1-EN009,Elemental Hero Bubbleman,N,Deulist Pack 1: Jaden Yuki,Common,2,7.90,
DP1-EN011,Elemental Hero Thunder Giant,N,Deulist Pack 1: Jaden Yuki,Rare,2,25.00,
DP1-EN012,Elemental Hero Rampart Blaster,N,Deulist Pack 1: Jaden Yuki,Rare,3,40.00,
DP1-EN014,Polymerization,N,Deulist Pack 1: Jaden Yuki,Common,5,5.83,
DP1-EN015,Fusion Sage,N,Deulist Pack 1: Jaden Yuki,Common,1,7.50,
DP1-EN016,The Warrior Returning Alive,N,Deulist Pack 1: Jaden Yuki,Common,4,4.24,
DP1-EN017,Feather Shot,N,Deulist Pack 1: Jaden Yuki,Common,5,2.88,
DP1-EN018,Transcendent Wings,N,Deulist Pack 1: Jaden Yuki,Common,4,4.45,
DP1-EN020,Spark Blaster,N,Deulist Pack 1: Jaden Yuki,Common,4,2.43,
DP1-EN021,Skyscraper,N,Deulist Pack 1: Jaden Yuki,Rare,2,14.99,
DP1-EN025,A Hero Emerges,N,Deulist Pack 1: Jaden Yuki,Common,3,2.57,
DP1-EN026,Draining Shield,N,Deulist Pack 1: Jaden Yuki,Common,5,5.95,
DP1-EN027,Negate Attack,N,Deulist Pack 1: Jaden Yuki,Rare,1,6.99,
DP1-EN028,Hero Signal,N,Deulist Pack 1: Jaden Yuki,Common,4,3.05,
DP1-EN029,Feather Wind,N,Deulist Pack 1: Jaden Yuki,Rare,3,1.82,
DP1-EN030,Clay Charge,N,Deulist Pack 1: Jaden Yuki,Super Rare,1,8.55,
DP2-EN001,V-Tiger Jet,N,Deulist Pack 2: Chazz Princeton,Common,4,4.95,
DP2-EN002,Ojama Green,N,Deulist Pack 2: Chazz Princeton,Common,2,7.18,
DP2-EN003,Ojama Yellow,N,Deulist Pack 2: Chazz Princeton,Common,5,5.50,
DP2-EN004,Ojama Black,N,Deulist Pack 2: Chazz Princeton,Common,4,5.03,
DP2-EN005,X-Head Cannon,N,Deulist Pack 2: Chazz Princeton,Common,5,1.66,
DP2-EN006,Y-Dragon Head,N,Deulist Pack 2: Chazz Princeton,Common,6,4.04,
DP2-EN007,Z-Metal Tank,N,Deulist Pack 2: Chazz Princeton,Common,5,3.94,
DP2-EN008,W-Wing Catapult,N,Deulist Pack 2: Chazz Princeton,Common,6,3.79,
DP2-EN009,Infernal Incinerator,N,Deulist Pack 2: Chazz Princeton,Rare,2,5.26,
DP2-EN010,Armed Dragon LV3,N,Deulist Pack 2: Chazz Princeton,Common,2,6.35,
DP2-EN011,Armed Dragon LV5,N,Deulist Pack 2: Chazz Princeton,Common,2,3.62,
DP2-EN014,XYZ-Dragon Cannon,N,Deulist Pack 2: Chazz Princeton,Rare,2,59.95,
DP2-EN015,Ojama King,N,Deulist Pack 2: Chazz Princeton,Common,4,59.95,
DP2-EN016,VW-Tiger Catapult,N,Deulist Pack 2: Chazz Princeton,Rare,3,4.95,
